"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2018-07-21","HOU","1","0.7493","0.7493","FCD","1","2.03","2.03","0","-1.2807","-1.2807","0","0.444","2.376"
"2018-07-21","RSL","2","0.8421","0.8421","COL","2","1.8119","1.8428","0","-0.9698","-1.0007","0","0.612","2.142"
"2018-07-18","MIN","2","1.4001","1.4082","NER","1","1.7452","1.7953","1","-0.3451","-0.387","1","1.129","1.621"
"2018-07-15","LAFC","0","0.842","0.842","POR","0","0.9137","0.9137","0","-0.0717","-0.0717","0","1.239","1.416"
"2018-07-15","ATL","1","1.9159","2.0981","SEA","1","0.9984","1.023","0","0.9174","1.0751","0","2.041","0.691"
"2018-07-14","DCU","3","1.021","1.021","VAN","1","0.9826","0.9826","2","0.0384","0.0384","2","1.39","1.279"
"2018-07-14","NYC","2","1.8743","1.9759","CLB","0","0.9881","0.9892","2","0.8863","0.9867","2","1.983","0.771"
"2018-07-14","ORL","2","1.8308","1.8599","TOR","1","1.9587","1.9865","1","-0.1278","-0.1266","1","1.232","1.541"
"2018-07-14","NYRB","3","2.1858","2.2476","SKC","2","1.4047","1.4047","1","0.7811","0.8429","1","1.865","0.899"
"2018-07-14","MIN","3","1.5849","1.5849","RSL","2","1.2397","1.2501","1","0.3452","0.3348","1","1.708","0.997"
"2018-07-14","MTL","2","1.1381","1.1381","SJE","0","0.7241","0.7311","2","0.414","0.407","2","1.72","0.97"
"2018-07-14","NER","2","1.9629","1.968","LAG","3","1.475","1.4876","-1","0.4878","0.4804","-1","1.726","1.018"
"2018-07-14","COL","0","0.6673","0.6673","HOU","0","0.563","0.6105","0","0.1043","0.0568","0","1.428","1.161"
"2018-07-14","FCD","3","3.0118","3.0146","CHI","1","0.6041","0.6041","2","2.4077","2.4104","2","2.754","0.165"
"2018-07-11","NYC","3","1.6448","1.6628","MTL","0","0.091","0.091","3","1.5538","1.5718","3","2.6","0.218"
"2018-07-11","CHI","3","1.7417","1.7417","PHI","4","1.9297","1.9397","-1","-0.1879","-0.198","-1","1.308","1.443"
"2018-07-08","NYC","1","1.3397","1.3923","NYRB","0","2.041","2.0738","1","-0.7012","-0.6815","1","0.898","1.888"
"2018-07-07","LAFC","4","3.4872","3.8186","ORL","1","1.6689","1.6997","3","1.8183","2.1189","3","2.416","0.46"
"2018-07-07","LAG","4","3.2333","3.2628","CLB","0","1.5436","1.6206","4","1.6897","1.6422","4","2.406","0.438"
"2018-07-07","MTL","2","2.0812","2.0812","COL","1","0.7862","0.8474","1","1.295","1.2338","1","2.311","0.478"
"2018-07-07","POR","2","2.6063","2.6063","SJE","1","1.4997","1.5126","1","1.1065","1.0936","1","2.064","0.759"
"2018-07-07","SKC","2","2.2845","2.2845","TOR","2","0.7521","0.7521","0","1.5324","1.5324","0","2.432","0.407"
"2018-07-07","NER","0","0.4187","0.4187","SEA","0","0.529","0.529","0","-0.1104","-0.1104","0","1.146","1.374"
"2018-07-07","VAN","3","2.8023","2.8798","CHI","2","2.0974","2.1202","1","0.7049","0.7596","1","1.904","0.89"
